id	title	description	link	price	availability	image_link	gtin	mpn	brand	update_type

id	title	description	link	price	availability	image_link	gtin	mpn	brand	update_type
1	Antivirus Kaspersky Básico 10 Dispositivos 1 Año	Antivirus Kaspersky Básico 10 Dispositivos 1 Año 	https://www.articulomercadolibrecom.ml/MLM-1302909623-antivirus-kaspersky-basico-10-dispositivos-1-ano-_JM.html	1063 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_881350-MLM47371673037_092021-O.jpg	00679628201535		Antivirus Kaspersky Básico 10 Dispositivos 1 Año	merge
2	Antivirus Kaspersky Internet Dispositivos 1 Año	Antivirus Kaspersky Internet Dispositivos 1 Año 	https://www.articulomercadolibrecom.ml/MLM-1303156118-antivirus-kaspersky-internet-dispositivos-1-ano-_JM.html	320 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_634924-MLA49589851119_042022-O.jpg	00679628201542		Antivirus Kaspersky Internet Dispositivos 1 Año	merge
3	Bitdefender Internet Security 3 Pc 2 Años	Bitdefender Internet Security 3 Pc 2 Años INTERNET SECURITYMejor protección. Mejor rendimiento. Fácil de usar.La mejor seguridad de Internet contra las amenazas digitales. PRODUCTO OFICIAL DEL AÑO Impacto nulo en el rendimiento galardón de ORO a la mayor velocidad del sistema. OneClick Security. Protección automática sin preguntarle nada. Evite el acceso no autorizado a su información confidencial. Cortafuego bidireccional. Mantenga a sus hijos a salvo. Monitorice sus actividades. Control parental discreto. Compatible con Windows 10Bitdefender Internet Security es el software de seguridad para Internet más potente disponible hoy en día.Requisitos mínimos del sistema Microsoft Windows 8 Microsoft Windows 8.1 Microsoft Windows 10 CPU Procesador de doble núcleo a 1 6 GHz Memoria (RAM) 1 GB Espacio libre disponible en disco 1 GB de espacio libre (al menos 800 MB en el disco duro del sistema) Requisitos de Software Internet Explorer versión 10 y posteriorRequisitos de sistema recomendados Sistema operativo Microsoft Windows 7(SP1)	https://www.articulomercadolibrecom.ml/MLM-1303243861-bitdefender-internet-security-3-pc-2-anos-_JM.html	517 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_886986-MLM31228835317_062019-O.jpg	00679628201559		Bitdefender	merge
4	Kaspersky Antivirus Básico 3 Dispositivo 3 Años	Kaspersky Antivirus Básico 3 Dispositivo 3 Años DescripciónAntiVirus KASPERSKY ESD 3 años Activación inmediata La solución básica de kaspersky te protege de los virus.Protege tu PC y todas las cosas valiosas que almacenas en ella. Kaspersky AntiVirus es la manera más inteligente de proteger todos los datos almacenados en la PC para evitar virus spyware troyanos y ransomware que pueden bloquear tus archivos.Requisitos generales.920 MB de espacio libre en el disco duroUnidad de CD/DVD (si se instala desde un CD)Conexión a Internet (para instalar y activar la aplicación usar Kaspersky Security Network y actualizar las bases de datos y los módulos de aplicación)RatónMicrosoft Internet Explorer 8.0 o superiorMicrosoft Windows Installer 3.0 o superiorMicrosoft .Net Framework 4 o superior Requisitos para portátilesProcesador Intel Atom 1.6 a GHz o superior1024 MB de memoria RAMTarjeta vídeo Intel GMA950 con la memoria a 64 MB como mínimoResolución de pantalla a 1024×600 como mínimo Requisitos para tabletasMicrosoft Windows 8 Microsoft Win	https://www.articulomercadolibrecom.ml/MLM-1305077569-kaspersky-anti-virus-basico-3-dispositivo-3-anos-_JM.html	891 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_602743-MLM47366383022_092021-O.jpg	00679628201573		Kaspersky	merge
5	Kaspersky Antivirus Básico 3 Dispositivo 2 Años	Kaspersky Antivirus Básico 3 Dispositivo 2 Años 	https://www.articulomercadolibrecom.ml/MLM-1305082585-kaspersky-anti-virus-basico-3-dispositivo-2-anos-_JM.html	516 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_637335-MLM47366276808_092021-O.jpg	00679628201580		Kaspersky Antivirus Básico 3 Dispositivo 2 Años	merge
6	Kaspersky Antivirus Básico 1 Dispositivo 3 Años	Kaspersky Antivirus Básico 1 Dispositivo 3 Años 	https://www.articulomercadolibrecom.ml/MLM-1305087599-kaspersky-anti-virus-basico-1-dispositivo-3-anos-_JM.html	474 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_996104-MLM47366278738_092021-O.jpg	00679628201597		Kaspersky Antivirus Básico 1 Dispositivo 3 Años	merge
7	Kaspersky Antivirus Básico 5 Dispositivo 2 Años	Kaspersky Antivirus Básico 5 Dispositivo 2 Años 	https://www.articulomercadolibrecom.ml/MLM-1305087626-kaspersky-anti-virus-basico-5-dispositivo-2-anos-_JM.html	1063 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_789929-MLM47366341488_092021-O.jpg	00679628201603		Kaspersky Antivirus Básico 5 Dispositivo 2 Años	merge
8	Kaspersky Antivirus Básico 1 Dispositivo 2 Años	Kaspersky Antivirus Básico 1 Dispositivo 2 Años 	https://www.articulomercadolibrecom.ml/MLM-1305092546-kaspersky-anti-virus-basico-1-dispositivo-2-anos-_JM.html	254 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_853919-MLM47366342068_092021-O.jpg	00679628201610		Kaspersky Antivirus Básico 1 Dispositivo 2 Años	merge
